"Nome_Evento","Mortes_Estimadas","Taxa_Fatalidade"
Black Death,75000000,37.5
Plague of Justinian,25000000,50.0
Antonine Plague,5000000,50.0
Second Pandemic Plague,12000000,40.0
Smallpox in Americas,56000000,93.3
Great Plague of London,68596,70.5
Great Plague of Marseille,50000,41.7
First Cholera Pandemic,500000,33.3
Second Cholera Pandemic,900000,36.0
Third Cholera Pandemic,1000000,33.3
Fourth Cholera Pandemic,1200000,34.3
Fifth Cholera Pandemic,1400000,35.0
Sixth Cholera Pandemic,1800000,36.0
Yellow Fever Epidemic,5000,50.0
Encephalitis Lethargica,500000,50.0
HIV/AIDS,40000000,47.6
H5N1 Bird Flu,457,52.6
MERS,935,35.96
West Africa Ebola,11310,39.5
Nipah Virus Kerala,21,91.3
Marburg Germany,7,22.6
Hantavirus,311,37.3
